hotel_name,reg,state,types,cus_name,phone_no,emel,customer_rating,membership,rep_guest,prev_cancel,payment_method,card_no,resv_status,meal,assgn_room,cus_seg,room-type,adult,(child),dis_channel,price,nights,package_,gross,disc,disc_amt,sales,dep,d_s,arrival_date,depature_date,ADR,Sales Person ,pos,comm_pay,customer_review
"Lexis Suites, Penang",North,Penang ,City Hotel ,Ernest Barnes,669-792-1661,Ernest.Barnes31@outlook.com,5,Platinum,0,0,Credit Card,************4322,Check-Out,BB,C,Individual,Single Room,2, -   ,Direct,550,8,320,"4,400",10%,440,"4,280",300, Refunded  ,02/04/2024,10/04/2024,0,Leo,Sales Manager,15,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Andrea Baker,858-637-6955,Andrea_Baker94@aol.com,4,Gold,0,0,Credit Card,************9157,Check-Out,BB,C,Individual,Deluxe Room,2, -   ,Direct,650,6,240,"3,900",5%,195,"3,945",300, Refunded  ,13/07/2024,19/07/2024,0,Kelly,Sales Executive,20,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Rebecca Parker,652-885-2745,Rebecca_Parker@comcast.net,5,Platinum,0,0,Online Transfer,************3734,Check-Out,BB,C,Corporate,Single Room,1, -   ,Agoda,550,13,260,"7,150",10%,715,"6,695",300, Refunded  ,22/08/2024,04/09/2024,75,Bernice,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Laura Murray,364-656-8427,Laura_M@gmail.com,4,Platinum,0,0,Credit Card,************5677,Check-Out,BB,A,Family,Royal Suite ,3,1,Direct,"1,800",6,480,"10,800",10%,"1,080","10,200",300, Refunded  ,16/05/2024,22/05/2024,75,Leo,Sales Manager,30,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Linda Hines,713-226-5883,LHines@verizon.com,5,Platinum,0,0,Online Transfer,************5498,Check-Out,BB,A,Family,Deluxe Room,2,2,Direct,650,5,400,"3,250",10%,325,"3,325",300, Forfeited  ,05/02/2024,10/02/2024,98,Leo,Sales Manager,20,Excellent
"Lexis Suites, Penang",North,Penang ,City Hotel ,Jasmine Fletcher,190-271-6743,JFletcher43@xfinity.com,5,Gold,0,0,Credit Card,************9263,Check-Out,BB,A,Corporate,Single Room,1, -   ,Direct,550,14,280,"7,700",5%,385,"7,595",300, Refunded  ,13/09/2024,27/09/2024,98,Kelly,Sales Executive,15,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Dylan Rangel,420-332-5209,Rangel.Dylan@comcast.net,5,Gold,0,0,Online Transfer,************6994,Check-Out,BB,C,Corporate,Single Room,1, -   ,Agoda,550,5,100,"2,750",5%,138,"2,713",300, Refunded  ,12/09/2024,17/09/2024,107,Derek,Sales Executive,15,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,William Velez,286-669-4333,Velez_William@mail.com,4,Gold,0,0,Online Transfer,************8729,Check-Out,FB,C,Family,Single Room,1,2,Booking.com,550,15,900,"8,250",5%,413,"8,738",300, Refunded  ,15/09/2024,30/09/2024,103,Amy,Sales Executive,15,Very Good
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Steven Murphy,341-726-5787,Steven.Murphy54@aol.com,5,Gold,0,0,Online Transfer,************3639,Check-Out,BB,A,Individual,Deluxe Room,2, -   ,Booking.com,650,11,440,"7,150",5%,358,"7,233",300, Refunded  ,24/06/2024,05/07/2024,82,Leo,Sales Manager,20,Excellent
"The Hilton, Kuala Lumpur",Central,Kuala Lumpur,City Hotel ,Michael Moore,316-648-6176,MichaelMoore81@outlook.com,4,Gold,0,0,Credit Card,************9190,Check-Out,HB,D,Individual,Deluxe Room,3, -   ,Agoda,650,11,660,"7,150",5%,358,"7,453",300, Refunded  ,29/05/2024,09/06/2024,105.5,Leo,Sales Manager,20,Very Good
"Lexis Suites, Penang",North,Penang ,City Hotel ,Priscilla Collins PhD,833-887-7898,PhD.Priscilla74@att.com,5,Platinum,0,0,Credit Card,************4642,Check-Out,BB,E,Individual,Deluxe Room,2, -   ,Direct,650,15,600,"9,750",10%,975,"9,375",300, Refunded  ,12/09/2024,27/09/2024,123,Derek,Sales Executive,20,Excellent
"Le Méridien, Sabah",East,Sabah,Resort Hotel ,Laurie Smith,804-383-4080,Smith.Laurie@att.com,2,Gold,0,0,Credit Card,************5450,Check-Out,HB,D,Family,Single Room,1,2,Agoda,550,2,120,"1,100",5%,55,"1,165",300, Refunded  ,29/03/2024,31/03/2024,145,Leo,Sales Manager,15,Poor
"Lexis Suites, Penang",North,Penang ,City Hotel ,Casey Thomas,211-071-2173,Casey_T78@outlook.com,5,Gold,0,0,Credit Card,************8518,Check-Out,BB,E,Corporate,Deluxe Room,3, -   ,Booking.com,650,14,840,"9,100",5%,455,"9,485",300, Refunded  ,14/08/2024,28/08/2024,97,Kelly,Sales Manager,20,Excellent
